poi_id,name,region,locality,longitude,latitude,category_level1,category_level2,category_level3,rating,rating_count,traffic_score,time_spent,weekday_avg_popularity,weekend_avg_popularity,afternoon_avg,evening_avg,morning_avg,night_avg,max_popularity,peak_hour,peak_day,popularity_variance
1,SHREDS®️Gym,Sindh,Karachi,67.06361923,24.7919115,Sports & Fitness,Gyms & Studios,Gym,4.4,74,37.83,People typically spend up to 2 hours here,38.737,45.928125,54.81057143,65.92285714,26.22261905,27.24946429,94.17,17,Sunday,20.65941079
2,BODYTECH,Punjab,Lahore,74.2130689,31.4348545,Sports & Fitness,Gyms & Studios,Gym,4.6,176,51,People typically spend up to 1.5 hours here,33.97541667,38.69208333,28.87942857,72.24542857,22.48214286,25.90446429,100,19,Saturday,21.32307293
3,Pak Arms store,Federally Administered Tribal Area,Dara Adamkhel,71.51664492,33.68373064,Sports & Fitness,Shooting & Gun Ranges,Gun shop,4.5,88,75.83,People typically spend up to 4 hours here,33.00133333,38.93291667,28.95742857,71.37742857,20.62452381,25.91053571,94.98,20,Sunday,21.29343955
4,SportX,Islamabad Capital Territory,Islamabad,72.96617778,33.65939837,Sports & Fitness,Recreation Centers,Sports complex,4.3,283,30.71,People typically spend up to 2 hours here,38.52483333,45.3075,54.648,63.95857143,26.64380952,27.27625,100,16,Saturday,20.23925372
5,Butt Power Gym,Punjab,Jhelum,73.73142445,32.9294245,Sports & Fitness,Gyms & Studios,Gym,4.5,29,38.17,People typically spend up to 4 hours here,39.49291667,46.15208333,55.79285714,65.306,27.36714286,27.97446429,100,17,Sunday,20.68872474
6,Fitness Planet Gym & Crossfit,Pakistan,Lahore,74.42791012,31.51092246,Sports & Fitness,Gyms & Studios,Gym,4.3,177,66.33,People typically spend up to 1 hour here,32.65791667,37.89208333,27.49,70.66314286,21.67833333,24.85571429,90.81,19,Saturday,20.79150595
7,Prime Fitness,Satellite Town,Rawalpindi,73.06827981,33.63301769,Sports & Fitness,Gyms & Studios,Fitness center,4.8,388,44.14,People typically spend up to 1.5 hours here,33.88216667,37.95041667,29.72942857,72.43028571,20.77571429,25.70196429,93.68,19,Saturday,21.43762736
8,BHALWAL POWER GYM,Punjab,Bhalwal,72.90106398,32.26816685,Sports & Fitness,Gyms & Studios,Gym,3.9,110,43.71,People typically spend up to 1.5 hours here,39.016,45.38104167,54.68857143,64.34342857,26.82238095,27.99196429,95.5,17,Saturday,20.25739805
9,Lions Gold Gym,Pakistan,Faisalabad,73.11597692,31.42346159,Sports & Fitness,Gyms & Studios,Gym,4.5,166,59.67,People typically spend up to 1 hour here,49.61633333,57.9825,46.55685714,72.31657143,56.93738095,39.02107143,100,18,Saturday,17.37307869
10,Fit Track Gym,Rawalpindi Tehsil,Rawalpindi,73.04767597,33.62981866,Sports & Fitness,Gyms & Studios,Gym,4.6,54,40.67,People typically spend up to 2 hours here,38.64891667,45.575625,54.07542857,64.47371429,27.00261905,27.53875,94.98,18,Saturday,20.35438856
11,Ultimate Fitness Gym,Pakistan,Lahore,74.28239077,31.43868141,Sports & Fitness,Gyms & Studios,Gym,4.6,70,41.17,People typically spend up to 1.5 hours here,50.39933333,56.30541667,46.438,71.25285714,58.72809524,38.6575,100,18,Saturday,17.60101499
