latitude,longitude,avg_rent,median_rent,min_rent,max_rent,avg_rent_per_marla,median_rent_per_marla,property_count,avg_area_marla,city,province,location_name,dominant_property_type,avg_bedrooms,avg_baths,data_source
24.752502,67.074019,150000.0,150000.0,75000,225000,16815.37,16146.22,4,8.9,Karachi,Sindh,DHA Defence,Flat,2.5,2.5,rental
24.758601,67.073236,85000.0,85000.0,85000,85000,14166.67,14166.67,1,6.0,Karachi,Sindh,DHA Defence,Lower Portion,2.0,3.0,rental
24.766161,67.063451,125000.0,125000.0,120000,130000,28750.0,28750.0,2,4.4,Karachi,Sindh,DHA Defence,House,4.0,4.0,rental
24.768109,67.079501,150000.0,150000.0,150000,150000,7500.0,7500.0,1,20.0,Karachi,Sindh,DHA Defence,Upper Portion,3.0,3.0,rental
24.774178,67.09162,130000.0,130000.0,130000,130000,21666.67,21666.67,1,6.0,Karachi,Sindh,DHA Defence,House,4.0,5.0,rental
24.77463273,67.09106966,135000.0,135000.0,135000,135000,22500.0,22500.0,1,6.0,Karachi,Sindh,DHA Defence,House,4.0,5.0,rental
24.77632516,67.06742445,125000.0,125000.0,125000,125000,5208.33,5208.33,1,24.0,Karachi,Sindh,DHA Defence,Lower Portion,4.0,5.0,rental
24.777115,67.089857,211530.61,200000.0,160000,325000,14252.8,13380.28,49,15.13,Karachi,Sindh,DHA Defence,Flat,2.51,2.96,rental
24.777115,67.08986,255000.0,255000.0,210000,300000,15384.47,15384.47,2,16.55,Karachi,Sindh,DHA Defence,Flat,4.0,5.0,rental
24.7772274,67.08990479,180000.0,180000.0,180000,180000,16822.43,16822.43,1,10.7,Karachi,Sindh,DHA Defence,Flat,3.0,3.0,rental
24.77723864,67.06545392,150000.0,150000.0,150000,150000,7500.0,7500.0,1,20.0,Karachi,Sindh,DHA Defence,House,3.0,4.0,rental
24.77765034,67.07726374,120000.0,120000.0,120000,120000,6000.0,6000.0,1,20.0,Karachi,Sindh,DHA Defence,Upper Portion,3.0,3.0,rental
24.77880831,67.08108958,120000.0,120000.0,120000,120000,6000.0,6000.0,1,20.0,Karachi,Sindh,DHA Defence,Upper Portion,3.0,3.0,rental
24.77898091,67.07136154,165000.0,165000.0,165000,165000,12043.8,12043.8,1,13.7,Karachi,Sindh,DHA Defence,Flat,3.0,4.0,rental
24.77983296,67.0549807,30000.0,30000.0,30000,30000,15000.0,15000.0,1,2.0,Karachi,Sindh,DHA Defence,Flat,1.0,2.0,rental
24.77987678,67.07736198,120000.0,120000.0,120000,120000,6000.0,6000.0,1,20.0,Karachi,Sindh,DHA Defence,Upper Portion,3.0,3.0,rental
24.77995491,67.05517578,41500.0,41500.0,25000,58000,18333.33,18333.33,2,2.2,Karachi,Sindh,DHA Defence,Flat,1.0,1.0,rental
24.779955,67.055176,32000.0,32000.0,32000,32000,16000.0,16000.0,1,2.0,Karachi,Sindh,DHA Defence,Flat,1.0,2.0,rental
24.779955,67.055179,40180.0,30000.0,8000,300000,13075.38,13500.0,50,3.46,Karachi,Sindh,DHA Defence,Flat,1.82,1.96,rental
24.78191293,67.05757499,34000.0,34000.0,34000,34000,15454.55,15454.55,1,2.2,Karachi,Sindh,DHA Defence,Flat,1.0,2.0,rental
