poi_id,name,region,locality,address,postcode,longitude,latitude,category_level1,category_level2,category_level3,business_status,phone,website_domain,rating,rating_count,traffic_score,time_spent,update_month
07eb7e21e004e7b58650639748d88132,SHREDS®️Gym,Sindh,Karachi,"SHREDS®️: 2nd Floor, Plot# 37C, Khayaban-e-Muslim, D.H.A Phase 6 Bukhari Commercial Area Phase 6 Defence Housing Authority, Karachi, 75500, Pakistan",75500.0,67.06361923,24.7919115,Sports & Fitness,Gyms & Studios,Gym,Open 24 hours,+92 300 0204944,facebook.com,4.4,74.0,37.83,People typically spend up to 2 hours here,03-2025
fe826357b171af80ffc3e6041272632d,BODYTECH,Punjab,Lahore,"18-22-D Commercial, Phase 12 DHA EME Sector, Lahore, 53711, Pakistan",53711.0,74.2130689,31.4348545,Sports & Fitness,Gyms & Studios,Gym,Open,+92 300 4492851,bodytechpk.com,4.6,176.0,51.0,People typically spend up to 1.5 hours here,03-2025
39d10ece3129ce1a2ca68ca47349a598,Pak Arms store,Federally Administered Tribal Area,Dara Adamkhel,"Abdul Samad Plaza Shop no B18 Main Dara Bazar, Dara Adamkhel, 26100, Pakistan",26100,71.51664492,33.68373064,Sports & Fitness,Shooting & Gun Ranges,Gun shop,Open,+92 332 9506090,pakarms.co,4.5,88.0,75.83,People typically spend up to 4 hours here,03-2025
5718d2d7d46040eb1d14ce62866ba75b,SportX,Islamabad Capital Territory,Islamabad,"Street 689, near Dr AQ Khan School system, G-13/3 G-12, Islamabad, 44100, Pakistan",44100.0,72.96617778,33.65939837,Sports & Fitness,Recreation Centers,Sports complex,Open 24 hours,+92 336 1336133,sportxpakistan.com,4.3,283.0,30.71,People typically spend up to 2 hours here,03-2025
ce7cbaf25efdd3dfd9e7815993e6215a,Butt Power Gym,Punjab,Jhelum,"Kinari Bazar, Toya Mohallah, Jhelum, 49600, Pakistan",49600.0,73.73142445,32.9294245,Sports & Fitness,Gyms & Studios,Gym,Open,+92 321 5449642,facebook.com,4.5,29.0,38.17,People typically spend up to 4 hours here,03-2025
0fee73c80e17c4abf76fe04036a1d4ec,Fitness Planet Gym & Crossfit,Pakistan,Lahore,"Round About, DHA Phase 8 - Ex Air Avenue Eden City, Lahore, 54810, Pakistan",54810.0,74.42791012,31.51092246,Sports & Fitness,Gyms & Studios,Gym,Open,+92 332 4105597,instagram.com,4.3,177.0,66.33,People typically spend up to 1 hour here,03-2025
de998edbb1553f3f59334ae3c4d9cfe5,Prime Fitness,Satellite Town,Rawalpindi,"Commercial Market Rd, B-Block Block B Satellite Town, Rawalpindi, 46300, Pakistan",46300.0,73.06827981,33.63301769,Sports & Fitness,Gyms & Studios,Fitness center,Open 24 hours,+92 311 1777773,theprimefitness.com,4.8,388.0,44.14,People typically spend up to 1.5 hours here,03-2025
733e4f5479c3d77147fa1f8d9aed506b,BHALWAL POWER GYM,Punjab,Bhalwal,"Mander Road, 3 Block Bhalwal, 40410, Pakistan",40410.0,72.90106398,32.26816685,Sports & Fitness,Gyms & Studios,Gym,Open,+92 306 6062220,24.24.100.144,3.9,110.0,43.71,People typically spend up to 1.5 hours here,03-2025
338467bf323637d75be9c871d23b89c2,Lions Gold Gym,Pakistan,Faisalabad,"1 Officers Colony Rd, Madina Town, Faisalabad, 38000, Pakistan",38000.0,73.11597692,31.42346159,Sports & Fitness,Gyms & Studios,Gym,Open,+92 322 6601330,facebook.com,4.5,166.0,59.67,People typically spend up to 1 hour here,03-2025
7472aff8631b9343350ccf65bf8d5c55,Fit Track Gym,Rawalpindi Tehsil,Rawalpindi,"Khayaban Sir Syed Rd, Khayaban e Sir Syed, Rawalpindi, 46000, Pakistan",46000.0,73.04767597,33.62981866,Sports & Fitness,Gyms & Studios,Gym,Open,+92 333 0093157,fittrackgym.com,4.6,54.0,40.67,People typically spend up to 2 hours here,03-2025
700cde2d677353bcc4e8171689f00bb0,Ultimate Fitness Gym,Pakistan,Lahore,"Sutlej Ave, Block C2 Block C 2 Nespak Housing Scheme, Lahore, 54770, Pakistan",54770.0,74.28239077,31.43868141,Sports & Fitness,Gyms & Studios,Gym,Open,+92 334 4704224,facebook.com,4.6,70.0,41.17,People typically spend up to 1.5 hours here,03-2025
06387d508a09eafce02eaeca23f62686,The Good Life by Sukh Chan Wellness Club,Sector FF,Lahore,"Plot C 198, Sector FF Dha Phase 4, FF, Lahore, 54000, Pakistan",54000.0,74.38552714,31.46430338,Sports & Fitness,Gyms & Studios,Gym,Open,+92 42 37309781,sukhchanclub.pk,4.5,41.0,33.14,People typically spend up to 1.5 hours here,03-2025
e72a735ea2124e340bf5f09febbe4adc,GORGEOUS GYM,UC-1 Model Colony,Karachi,"2nd floor, Liberty market, Main Liaquat Ali Khan Rd, Tina Square, Karachi, 75100, Pakistan",75100.0,67.18346249,24.90302554,Sports & Fitness,Gyms & Studios,Gym,Open,+92 336 0660676,facebook.com,4.3,95.0,39.83,People typically spend up to 1.5 hours here,03-2025
2a58cf0dae42afeec0cd3987c50426eb,Liaquat Gymnasium,Islamabad Capital Territory,Islamabad,"Islamabad Sports Complex, Islamabad, 44000, Pakistan",44000.0,73.09198254,33.70356688,Sports & Fitness,Recreation Centers,Sports complex,Open,+92 51 9202410,sports.gov.pk,4.5,155.0,28.43,People typically spend up to 2 hours here,03-2025
7ee73013248e86806fccd4eb64b3aedf,Fitnation Fitness Center Workout Studio GYM DHA Lahore,Sector C,Lahore,"147, CCA, Sector C Phase 5 D.H.A, Lahore, 54792, Pakistan",54792.0,74.41371141,31.46261315,Sports & Fitness,Gyms & Studios,Gym,Open,+92 333 1111951,fitnation.com.pk,4.5,53.0,33.0,People typically spend up to 3 hours here,03-2025
03501f63376c20cb0fbaa8d9ef34182b,Pure Gym,Punjab,Lahore,"Fazal Elahi Rd, Rehmanpura Colony, Lahore, 54000, Pakistan",54000.0,74.31873635,31.52536149,Sports & Fitness,Gyms & Studios,Gym,Open,+92 300 4122383,facebook.com,4.8,114.0,53.67,People typically spend up to 1 hour here,03-2025
f3cd3782a4b6f41cc5f33b11b89145c2,Signs of Spring,Sui Northern Officers Co-Operative Housing Society Phase 1,Lahore,"DHA Flyover, near Sui Gas Society, Block B Phase 1 Enterance, Lahore, 54000, Pakistan",54000.0,74.39148777,31.45247521,Sports & Fitness,Gyms & Studios,Gymnastics center,Open,+92 321 4600985,facebook.com,4.4,25.0,47.71,People typically spend up to 1 hour here,03-2025
45ed4bb520f6d2c21598aa832cad9ad6,Body second,Rahim Yar Khan Tehsil,Rahim Yar Khan,"Mall 786 11-A trust colony road، Near dawod pull, Rahim Yar Khan, 64200, Pakistan",64200,70.30886459,28.4267999,Sports & Fitness,Gyms & Studios,Gym,Open,+92 335 3555175,facebook.com,4.1,19.0,52.83,People typically spend up to 1.5 hours here,03-2025
793b0315c602f0233866f799d6231766,Velocity X,UC-1 Dehli Mercantile,Karachi,"D91, Tipu Sultan Rd, KDA Scheme #1 KDA Scheme 1, Karachi, 75350, Pakistan",75350,67.08573935,24.87988588,Sports & Fitness,Gyms & Studios,Gym,Open,+92 21 34550068,velocityx.com,4.4,226.0,54.67,People typically spend up to 2 hours here,03-2025
13730773b7ec90ea6c716e2efc55a74e,Next Level Fitness,Rawalpindi Tehsil,Islamabad,"Enigys Plaza, Plot 174, Block A, Central Ave, O-9 Police Foundation, Islamabad, 45710, Pakistan",45710.0,73.13127166,33.56416352,Sports & Fitness,Gyms & Studios,Fitness center,Open,+92 326 1555653,nextlevelfitness.pk,4.5,61.0,47.33,People typically spend up to 2 hours here,03-2025
009c171b7421f69a88e18d2ccdc99085,Sky Fitness gym,Civic Center Bahria Town,Islamabad,"Plot # 34, Lower Ground Floor, Civic Center Phase, 4, Bahria town, Islamabad, 46220, Pakistan",46220.0,73.1197094,33.55038868,Sports & Fitness,Gyms & Studios,Gym,Open 24 hours,+92 51 2711313,skyfitness.pk,4.5,45.0,31.57,People typically spend up to 1.5 hours here,03-2025
c0f23421c8d48723c31e403e5696145d,U Fitness Islamabad,Block J,Islamabad,"23rd floor, Ufone Towers, Jinnah Ave, F-7 F 7/1 Blue Area, Islamabad, 44000, Pakistan",44000.0,73.05457356,33.71156329,Sports & Fitness,Gyms & Studios,Fitness center,Open,+92 334 5555999,ufitness.pk,4.2,58.0,25.83,People typically spend up to 2.5 hours here,03-2025
6954c65a2bae8e39af43216f68de2268,IACTIVE F-6,Islamabad Capital Territory,Islamabad,"Ground Floor, Shaukat Plaza, Markaz School Rd, F-6 Markaz F 6 F-6, Islamabad, 44000, Pakistan",44000.0,73.07164076,33.72909517,Sports & Fitness,Gyms & Studios,Gym,Open 24 hours,+92 311 4997881,iactive.pk,3.7,51.0,32.0,People typically spend up to 2 hours here,03-2025
bb481cdc4ba18a54c2832a48e3c20f1c,F45 Training Gulberg II,Pakistan,Lahore,"18 Main Blvd Shop # 14, 15 & 16, First Floor, Gulberg Galleria, Gulberg III, Lahore, 54660, Pakistan",54660,74.34898931,31.53171748,Sports & Fitness,Gyms & Studios,Gym,Open,+92 319 1125667,f45training.pk,4.9,32.0,44.67,People typically spend up to 4 hours here,03-2025
699cebcb77acd12288275ba5b769837e,World Gym (Ladies and Gents),Punjab,Rawalpindi,"Makkah Plaza, Main Pindora Chungi, Mehmood Abad Satellite Town, Rawalpindi, 46000, Pakistan",46000,73.0624924,33.65168071,Sports & Fitness,Gyms & Studios,Fitness center,Open,+92 310 5899548,facebook.com,5.0,21.0,36.33,People typically spend up to 2 hours here,03-2025
1d79016f3e2192a06c95760da909e183,Vostro World G-13,Islamabad Capital Territory,Islamabad,"Plot 3 Bazar 4, G-13/2 G 13/2 G-13, Islamabad, 44000, Pakistan",44000,72.95654325,33.65373168,Sports & Fitness,Gyms & Studios,Gym,Open,+92 51 8733386,vostroworld.com,4.8,257.0,61.83,People typically spend up to 2 hours here,03-2025
b6f86872d34933387cabc1b227a28dcc,Gym Buddies,Rawalpindi Tehsil,Rawalpindi,"near Shehdi Fabrics, Chaklala Railway Scheme 1 Chaklala Cantt., Rawalpindi, 46000, Pakistan",46000,73.09921329,33.60186989,Sports & Fitness,Gyms & Studios,Gym,Open,+92 340 1999911,gymbuddies.com.pk,4.9,79.0,54.5,People typically spend up to 1 hour here,03-2025
