poi_id,name,region,locality,address,postcode,longitude,latitude,category_level1,category_level2,category_level3,business_status,phone,website_domain,rating,rating_count,traffic_score,time_spent,update_month
fb472f15b0161cca25674ee97352ae15,Travel Mate,UC-10 Clifton,Karachi,"Office # M, 10 Park Tower Rd, Block 5 Old Clifton, Karachi, 75600, Pakistan",75600.0,67.02454293,24.8144159,Travel & Lodging,Travel Agencies,Travel agency,Open,+92 21 35300444,travelmate.com.pk,4.4,93.0,37.67,People typically spend up to 4 hours here,03-2025
29ff9890a24af5d5504cea0bcc6be67e,Brolla Travel & Tours Pvt Ltd,Punjab,Multan,"LMQ Rd, Chah Bhaje Wala, Multan, 60000, Pakistan",60000.0,71.4608434,30.20762771,Travel & Lodging,Travel Agencies,Travel agency,Open,+92 321 6606399,brollaholidays.com,4.4,18.0,58.0,People typically spend up to 2 hours here,03-2025
a531c3eb16c8b23064e082284aba5477,Premio Travel & Tours,UC-5 Gulshan-e-iqbal 1,Karachi,"Bunglow No: B-102, Block 2 Gulshan-e-Iqbal, Karachi, 74600, Pakistan",74600.0,67.08572777,24.92602298,Travel & Lodging,Travel Agencies,Travel agency,Open,+92 317 7773646,premiotravels.com,4.3,1521.0,50.83,People typically spend up to 2 hours here,03-2025
bc6c4281262083b0422e0dd63ab01a3d,Bin Ramzan International Travel & Tours,Pakistan,Faisalabad,"Regency Rd, Faisalabad, 38000, Pakistan",38000.0,73.0866237,31.4204949,Travel & Lodging,Travel Agencies,Travel agency,Open 24 hours,+92 300 8668760,binramzantrvl.com,4.9,42.0,26.43,People typically spend up to 2.5 hours here,03-2025
019f113ca85be2dded6c6502340aeaf2,Superus Travel and Tours,Sialkot,Sialkot,"Murad pur، near Limu Wala Bagh, Muradpur, Sialkot, 51310, Pakistan",51310,74.49767416,32.50994397,Travel & Lodging,Travel Agencies,Travel agency,Open 24 hours,+92 300 6106555,youtube.com,5.0,26.0,37.29,People typically spend up to 1.5 hours here,03-2025
458f5025e21f6f225c51bce1808ba3d9,Matchless Tours & Travels PVT Ltd.,Punjab,Lahore,"Asia House، 7 Egerton Rd, Garhi Shahu, Lahore, 54000, Pakistan",54000,74.33116759,31.56117783,Travel & Lodging,Travel Agencies,Travel agency,Open,+92 42 111 111 247,matchlesstravels.com,4.1,100.0,35.0,People typically spend up to 4 hours here,03-2025
34bac3f9cdc07c4e39d22ccf64d48bc5,Aalishaan Travels,UC-7 P.e.c.h.s 2,Karachi,"Plot 5, Hameeda Height, Shop 3, 4 Shaheed-e-Millat Rd, Karachi, 74600, Shaheed-e-Millat Rd, Karachi, 75700, Pakistan",75700.0,67.06142516,24.87985894,Travel & Lodging,Travel Agencies,Travel agency,Open,+92 21 34391003,aalishaantravels.com,4.2,781.0,65.5,People typically spend up to 2.5 hours here,03-2025
876277e37b107ac62e5eb2afea2440d7,QUALITY AVIATION,UC-7 P.e.c.h.s 2,Karachi,"Adam Arcade, 1/A 1/B, Shaheed-e-Millat Rd, BMCHS Sharafabad, Karachi, 75300, Pakistan",75300,67.06194634,24.8803327,Travel & Lodging,Travel Agencies,Travel agency,Open 24 hours,+92 21 111 747 111,qualityaviation.com.pk,4.3,238.0,44.29,People typically spend up to 4 hours here,03-2025
3ae00b73a98e5a52f587b524835b9294,New Choudhary Travels,Punjab,Kharian,"Shop No.1, Shoukat Plaza, GT Rd, Riyasat Nagar Kharian, 50090, Pakistan",50090,73.86135672,32.81122984,Travel & Lodging,Travel Agencies,Travel agency,Open 24 hours,+92 53 7610076,choudharytravel.com,4.2,122.0,28.43,People typically spend up to 4 hours here,03-2025
001e6185f072f9107f5db0e6991b0a2b,Al Ghaffar Travel,Sindh,Karachi,"Ground Floor, Business Enclave, 24th Commercial St, Phase 2 Commercial Area Defence Housing Authority, Karachi, 75500, Pakistan",75500.0,67.07045443,24.83223644,Travel & Lodging,Travel Agencies,Travel agency,Open,+92 311 1786248,alghaffar.com.pk,4.9,636.0,61.83,People typically spend up to 4 hours here,03-2025
389e12bbc5537b999e39b85c06fbdf2c,Arqem Hajj & Umrah Services,Pakistan,Lahore,"14/1, Lahore, 54660, Pakistan",54660.0,74.33187374,31.49814266,Travel & Lodging,Travel Agencies,Travel agency,Open,+92 321 9366661,arqemhajj.com,4.6,289.0,45.67,People typically spend up to 4 hours here,03-2025
0c0f853fdff792b77754eac9de46294a,U Travel International at Mandibahauddin,Punjab,Mandi Bahauddin,"Old Rasul Rd, Usmania Mohalla, Mandi Bahauddin, 50400, Pakistan",50400.0,73.49359274,32.58859629,Travel & Lodging,Travel Agencies,Travel agency,Open,+971 56 273 1190,utravelint.com,3.9,192.0,61.67,People typically spend up to 2 hours here,03-2025
f48a76f5cfacfd36034ffa366404155f,Melhi International Employment,Punjab,Gujrat,"GT Rd, Makkah Colony, Gujrat, 50700, Pakistan",50700.0,74.08237871,32.55813897,Travel & Lodging,Travel Agencies,Travel agency,Open,+92 53 3729736,melhigroup.com,4.0,238.0,68.67,People typically spend up to 1 hour here,03-2025
9b6468bb12fbc4fef37d50a2bdbbe7d0,Bukhari Travel Mirpur,Sector C 1,New Mirpur City,"Eid Gah Market, Syed Naik Alam Shah Road, A1 Sector C 1 New Mirpur City, 10250",10250,73.74684727,33.15034053,Travel & Lodging,Travel Agencies,Travel agency,Open,+92 347 6888111,bukharitravel.net,4.1,202.0,45.43,People typically spend up to 1 hour here,03-2025
fb14df987441e3480b1654aabafb86a1,Gerry's Travel,UC-10 Clifton,Karachi,"Suite 302, The Forum Shopping Mall, Khayaban-e-Jami, Block 9 Clifton, Karachi, 75500, Pakistan",75500.0,67.03521746,24.82721111,Travel & Lodging,Travel Agencies,Travel agency,Open,+92 21 35170951,gerrystravel.com,4.0,173.0,60.8,People typically spend up to 4 hours here,03-2025
49e27de2f66421be39a9c8cd10af3511,Skyline Travels Pvt. Ltd.,UC-4 City Railway Colony,Karachi,"Room 301-302, 3rd Floor، Uni Plaza, I.I Chundrigar Rd, Seari Quarters, Karachi, 74800, Pakistan",74800,67.00430843,24.84995298,Travel & Lodging,Travel Agencies,Travel agency,Open,+92 21 32415791,skylinetrvls.com,4.1,2600.0,65.33,People typically spend up to 4 hours here,03-2025
8a80b5be7787bd8cd5474d62bfea4c60,TNP Travels - The Nouvelliste Pakistan (Pvt.) Ltd.,UC-7 P.e.c.h.s 2,Karachi,"Bungalow # 108-E, Shahrah-e-Qaideen, Block 2 P.E.C.H.S., Karachi, 75100, Pakistan",75100.0,67.05087026,24.86786786,Travel & Lodging,Travel Agencies,Travel agency,Open,+92 316 2606485,thenouvelliste.com.pk,4.8,132.0,60.5,People typically spend up to 3.5 hours here,03-2025
d6107ae3d271e8598c7bbff8161ef0f6,TIME TRAVEL & TOURS,Stadium Commercial Area,Karachi,"Suite 1, 1st floor, C، Mobeen Centre, 9-C, Main Kh-E-Shamsheer, DHA Phase 5 Stadium Commercial Area Defence V Defence Housing Authority, Karachi, 75500, Pakistan",75500,67.04655929,24.81447629,Travel & Lodging,Travel Agencies,Travel agency,Open,+92 21 111 846 846,timetravels.pk,4.7,52.0,34.17,People typically spend up to 4 hours here,03-2025
64ad6fe28662e3b8f24e41eb6da4ae79,IBN-E-BASHIR ENTERPRISES,Pakistan,"Haroonabad, Pakistan","BLOCK-A 6/A NEAR TEHSIL OFFICE MAIN BAZAR، HAROOANABAD, PAKISTAN PUNJAB، Haroonabad, Pakistan, 62100, Pakistan",62100.0,73.13306097,29.60984883,Travel & Lodging,Travel Agencies,Travel agency,Open 24 hours,+92 345 7947606,ibn-e-bashir.com,4.6,38.0,32.86,People typically spend up to 2 hours here,03-2025
4acce109b60dbd0154b28b3f4fb7113e,Al-Khair Hajj & Umrah Travel Agency in Karachi - hajj packages 2025,UC-10 Clifton,Karachi,"108, 1st Floor, Clifton Center, Block 5 Clifton, Karachi, 75600, Pakistan",75600.0,67.03131253,24.82718919,Travel & Lodging,Travel Agencies,Travel agency,Open,+92 21 111 800 600,al-khair.org,4.2,215.0,51.33,People typically spend up to 4 hours here,03-2025
f174b243a759569b405f2d1175034c74,IMRAN DUBAI Travel&Tours(PVT LTD),Punjab,Zafarwal,"CHOWK, CHWINDA, SIALKOT ROAD, Zafarwal, 51670, Pakistan",51670.0,74.89791671,32.33782915,Travel & Lodging,Travel Agencies,Travel agency,Open,+92 344 2895145,imrandubaitravel.com,4.1,17.0,41.14,People typically spend up to 2.5 hours here,03-2025
38f4f5d4ace36deac91cbcfd37c87f3d,Qadri Tours & Travels (Pvt) Ltd,Punjab,Lahore,"Office 12, 13 Street 63 Shadbagh Rd, near Nasir Banquet Hall, Chah Miran, Lahore, 54000, Pakistan",54000.0,74.33637311,31.59442839,Travel & Lodging,Travel Agencies,Travel agency,Open 24 hours,+92 323 4339020,qadritours.com.pk,4.6,240.0,43.5,People typically spend up to 1 hour here,03-2025
2c186242578c6eade3fbeecab1533d48,FlyVour,Sector C,Lahore,"Executive Suite 102 232B Tulip Ext Bahria Town, Sector C Commercial, Lahore, 53720, Pakistan",53720.0,74.18480921,31.3677823,Travel & Lodging,Travel Agencies,Travel agency,Open 24 hours,+92 301 1222911,flyvour.com,4.8,75.0,44.0,People typically spend up to 2 hours here,03-2025
a293e9c4d682345242ff1d804eabb3df,MARHABA AL-HARMAIN Travel & Tours (Pvt.)Ltd. IATA,Rahim Yar Khan,Khanpur,"Quaid-e-Millat Rd, A Block Khanpur, 64100, Pakistan",64100.0,70.64973964,28.65310067,Travel & Lodging,Travel Agencies,Travel agency,Open,+92 68 5577555,malharmain.com,4.5,22.0,55.71,People typically spend up to 1 hour here,03-2025
c8d8516d4240a0fd6d05676324ef4fd2,Swat Kalam Tour Guide,Pakistan,Lahore,"P 59, IT Tower, Hali Rd, Block E1 Block E 1 Gulberg III, Lahore, 54000, Pakistan",54000.0,74.33852548,31.51555978,Travel & Lodging,Travel Agencies,Travel agency,Open,+92 321 8897336,natureadventureclub.pk,4.5,79.0,26.29,People typically spend up to 1 hour here,03-2025
747c926899cd3df984467c4242460714,Ghazali Travel And Tour's Kohat,Pakistan,Kohat,"Office No 2-3-4 Gul BanGash Plaza Tirah Bazar, Terrah Bazar Rd, Kohat, 26000, Pakistan",26000.0,71.43031888,33.58730197,Travel & Lodging,Travel Agencies,Travel agency,Open 24 hours,+92 333 9642057,facebook.com,4.9,49.0,35.14,People typically spend up to 4 hours here,03-2025
f739a51ab0a6fdeeba3afc4ae640587b,Sahiwal International Travel & Tours,Sahiwal Tehsil,Sahiwal,"OFFICE NO.01, Back Side of Meezan Bank, GT Road, Sahiwal, 57000, Pakistan",57000.0,73.1051402,30.65120578,Travel & Lodging,Travel Agencies,Travel agency,Open,+92 306 0581008,umrahpackagessahiwal.com,4.9,65.0,53.29,People typically spend up to 15 min here,03-2025
9fce5a8f9058ddd91f4646ffdb63c529,TRAVOCOM Pvt Limited Bahadurabad,UC-2 Civic Center,Karachi,"Office # 404 4th Floor, Balad Trade Centre, 2 Alamgir Rd, Bahadurabad Bahadur Yar Jang CHS, Karachi, 07482, Pakistan",7482.0,67.06686265,24.88112721,Travel & Lodging,Travel Agencies,Travel agency,Open,+92 311 1111247,travocom.com,4.6,44.0,59.17,People typically spend up to 4 hours here,03-2025
a992d0e3c3f68d837b370b7542bb8f32,Agog Travel Solutions,Block I,Islamabad,"405, 4th floor،, Royal Centre, AKM Fazl-ul-Haq Rd, Block I G 7/2 Blue Area, Islamabad, 44000, Pakistan",44000.0,73.05542051,33.70991741,Travel & Lodging,Travel Agencies,Travel agency,Open,+92 51 2120605,agog.com.pk,4.5,102.0,62.67,People typically spend up to 1.5 hours here,03-2025
9d829818d6e8d89c4c05208ac6302b87,Nashayman Travels & Tours (LALA GROUP OF TRAVELS),Shamsabad,Rawalpindi,"M33J+5M3 Burj Noor Trade Center, Main Murree Rd, Shamsabad, Rawalpindi, 44000, Pakistan",44000.0,73.07903128,33.65281514,Travel & Lodging,Travel Agencies,Travel agency,Open,+92 51 6122227,lalaintltravel.pk,4.3,47.0,53.0,People typically spend up to 4 hours here,03-2025
c609c716d1e0abc34eec07dab0dff2d1,Faremakers Faisalabad Branch,Pakistan,Faisalabad,"Faisalabad, Punjab, Jaranwala Rd, Kohinoor City, Faisalabad, 38000, Pakistan",38000.0,73.11275974,31.41275464,Travel & Lodging,Travel Agencies,Travel agency,Open,+92 311 1147111,faremakers.com,4.1,131.0,70.67,People typically spend up to 3 hours here,03-2025
9f3c78af532331d99694788c28135d07,Faremakers,Pakistan,Lahore,"3-UGF, Century Tower, Kalma Chowk Main Boulevard, Block E 2 Gulberg III, Lahore, 54000, Pakistan",54000.0,74.32938335,31.50504326,Travel & Lodging,Travel Agencies,Travel agency,Open,+92 311 1147111,faremakers.com,3.9,368.0,57.5,People typically spend up to 4 hours here,03-2025
233104c1d8e7f09e0c98bc39ddc49664,Deluxe Holidays,UC-2 Civic Center,Karachi,"Balad Trade Centre, Alamgir Rd, Bahadurabad BMCHS Sharafabad, Karachi, 07482, Pakistan",7482.0,67.06291486,24.88387146,Travel & Lodging,Travel Agencies,Travel agency,Open 24 hours,+92 300 0658646,deluxeholidays.com,4.5,1786.0,34.57,People typically spend up to 4 hours here,03-2025
9412e07f2af78ce056624b6b8a93e959,KAF INTERNATIONAL TRAVAL & TOURS,Pakistan,Lahore,"H, Office # P-114,115 Paradise flor Saddique Trade center, Lahore, 54000, Pakistan",54000.0,74.34983547,31.53109196,Travel & Lodging,Travel Agencies,Travel lounge,Open,+92 307 4029859,kaftravelsolution.com,4.1,270.0,62.6,People typically spend up to 4 hours here,03-2025
40eb392a6c1c83085c9e9deae7244a04,Trip Guide Travel & Tours,UC-2 Civic Center,Karachi,"Shop 2, Ground Floor, Dulara Residency, Bihar Muslim Society BMCHS Sharafabad, Karachi, 75600, Pakistan",75600.0,67.06284525,24.88313835,Travel & Lodging,Travel Agencies,Travel agency,Open,+92 332 4000067,tripguide.pk,4.8,278.0,32.57,People typically spend up to 4 hours here,03-2025
953c89a9fda313c08f480d8e31701068,Rehman Travels,Islamabad Capital Territory,Islamabad,"Shop No 3 Ground Floor, Rehman Travels, Office Tower, 44 East Fazal E Haq Road, Block E G 6/2 Blue Area, Islamabad, 44000, Pakistan",44000,73.07102762,33.7179826,Travel & Lodging,Travel Agencies,Travel agency,Open,+92 51 111 786 785,rehmantravel.com,4.7,1874.0,51.71,People typically spend up to 1 hour here,03-2025
